titel,url,inhoud,medium1,medium2,medium3,onderwerp1,onderwerp2,onderwerp3,academie,afdeling,graad,jaar
Sevenclicks,https://press.designacademy.nl/graduation-2019/project?ProjectId=2385,"Sevenclicks is a brainstorm tool that allows you to discover new connections between your subjects of interest, creating a pathway that brings you from A to X in seven clicks. In psychology creativity is mostly defined as combining distant concepts together. Research has shown that broader thoughts are linked to successful ideas. Therefore, Sevenclicks is a tool to stimulate broad thinking by taking the user from his initial topic to unexpected, yet related subjects. The website Sevenclicks.org is a creative research tool that takes the user on a path through the vast and connected knowledge base of Wikipedia. The result is a seven-page glossary, containing the seven chosen topics, which can then be saved or shared with others.",website,-,-,,,,Design Academy Eindhoven,Man and Communication,Bachelor,2019
New Office,https://press.designacademy.nl/graduation-2019/project?ProjectId=2554,"A range of tools that provide improved working conditions and a distinguished identity for the growing numbers of freelancers in semi-public spaces. Freelancing has gained popularity, even though it misses the benefits of employed work. Lacking an office, many freelancers open their laptops at coffee bars, trying to get the job done in the public environment. ‘New Office’ offers help with claiming their space and boosting their importance. A visual identity, with a playful reference to the traditional office, makes freelancers stand out from the crowd. A fake shirt for video calls, a reversible vest with a ‘free’ and a ‘busy’ side, or a barrier to mark the working area highlights their position in a fun way.",kledingstuk,identiteit,-,,,,Design Academy Eindhoven,Man and Communication,Bachelor,2019
EUPHORIC Magazine,https://press.designacademy.nl/graduation-2019/project?ProjectId=2553,"A magazine that raises awareness about the current situation in the EU and stresses the importance of a united Europe. There is a mood of crisis across Europe. The EU feels like an unapproachable “club of old intellectuals” – not exactly easy to identify with. And let’s be honest, what do we really know about our political and economic union? Anna Zimmerman does not want her generation to yield to the pessimists out of ignorance; ‘EUPHORIC Magazine’ presents an informative, optimistic approach. The first edition focuses on European Identity, trying to make this vague feeling more tangible. The divergent perspectives of fourteen young people from all over of Europe are meant to inspire others to actively shape their future as EU citizens.",boek,-,-,,,,Design Academy Eindhoven,Man and Communication,Bachelor,2019
Sense of Place,https://press.designacademy.nl/graduation-2019/project?ProjectId=2544,"A new way of looking at the city; instead of mapping the built environment, Bloeme Groenewold registers people’s feelings towards their surroundings. How do the people in Eindhoven experience their city? Which emotions are attached to squares, bridges or buildings? Analysing these emotions could provide valuable information for urban planning and lead to more mutual understanding. ’Sense of Place’ has defined a shape and colour for ten different feelings: from a red triangle for fear to a green wave for ease or a purple arch for pride. Placed on the map of Eindhoven, they show interesting patterns of feelings in various parts of town.",sculptuur,-,-,,,,Design Academy Eindhoven,Man and Communication,Bachelor,2019
HomeSet,https://press.designacademy.nl/graduation-2019/project?ProjectId=2363,"A living room as a curated staged decor, built to be a photographic image. The modern interior exists as an image to be liked and shared on social media. In ‘HomeSet’, Boris Brucher illustrates the gap between representation and reality by highlighting the divorce between image and shape, intention and comfort, picture and experience. Platforms like Instagram and Airbnb have widened that gap. Boris constructed an ensemble out of scaffolding and upholstered fabric, and draped it with images of popular furniture (Jeanneret chairs and a Perriand stool) published in influential interior magazines and loved by social media superstars. The deliberate mismatch between the photographed object and the actual shape emphasises the superficiality of our image-saturated world.",meubelstuk,fotografie,-,,,,Design Academy Eindhoven,Man and Communication,Bachelor,2019
Confident Face-Swap,https://press.designacademy.nl/graduation-2019/project?ProjectId=2323,"A hacked version of Vogue, based on the portrayal of beauty in the past 50 years of the magazine. Advertising in this famous fashion magazine is saturated with a certain beauty standard, captured in idyllic images. But what does such visual perfection convey to ordinary readers? Trends come and go, but, as five decades of Vogue advertising reveal, one quality never goes out of fashion: confidence. Mimicking this trait, Crys Leung photoshopped her own face into the original images to reveal and understand the tools that magazines use to manipulate the reader. It’s about making them buy into a parallel world, where there is no insecurity or sadness.",boek,fotografie,-,,,,Design Academy Eindhoven,Man and Communication,Bachelor,2019
,https://press.designacademy.nl/graduation-2019/project?ProjectId=2633,,-,-,-,,,,Design Academy Eindhoven,Man and Communication,Bachelor,2019
Acqua Alta,https://press.designacademy.nl/graduation-2019/project?ProjectId=2511,"A furniture collection that reflects the effects of high tide in Venice, creating a new aesthetic with references to the classic republican style. As the sea level is rising, floods in Venice are getting worse. Water enters houses and restaurants, but there is still no solid policy to save the city. Instead of ignoring the problem like many Venetians do, Federico Rosa revives awareness with a stylish yet worrisome design. These pieces of furniture may look like traditional classics, but they are actually trendsetters. The remnants of the high tide – molluscs, barnacles and seaweed – are cast into bronze ornaments for their legs, warning the world of what the future will bring.",meubelstuk,-,-,,,,Design Academy Eindhoven,Man and Communication,Bachelor,2019
Off the Radar,https://press.designacademy.nl/graduation-2019/project?ProjectId=2642,"A reinterpretation of the myth of Narcissus, drawing a parallel with contemporary self-adoration in the virtual world. Ferran Avila shows that the old myths are still relevant. Replacing the water surface from the story with a pair of modern VR glasses, he compares Narcissus’s obsessive love for his own reflection to self-glorification in the digital realm. Inspired by the hip hop scene – a growing ground for ego-boosting – Ferran stages an album release in an aesthetic museum setting. This moving sculpture shows how we can endlessly augment ourselves, building delusionary alter egos that are hard to let go of.",meubelstuk,VR,-,,,,Design Academy Eindhoven,Man and Communication,Bachelor,2019
"Football, Between Joy & Sadness",https://press.designacademy.nl/graduation-2019/project?ProjectId=2397,"A documentation of emotions generated by the world’s most popular sport. Thousands of fans gather weekly, annually, and every four years to witness ninety minutes of play, hoping that their team proves victorious. Analysing the impact of this theatre of emotions, Isabelle Mauduit shows that what matters is not the result but the emotional fluctuations throughout the game. By dissecting in book form this environment where emotions are highly stimulated and entirely simulated. Each minute spans three spreads that identify the name and time of an emotional event, capture it in a ‘photographic window’, and conclude with the football commentator’s account.",boek,-,-,,,,Design Academy Eindhoven,Man and Communication,Bachelor,2019
The School of Duality,https://press.designacademy.nl/graduation-2019/project?ProjectId=2556,"A video that explores the duality of attitudes towards the Catholic Church in Poland through interviews with family members and public displays of tension. The video features on Julia Romanowska’s family members, footage of demonstrations, and an artwork based on the School of Athens by Raphael, which speaks of duality within one discipline. The painting is overlaid with imagery that reflects the current state of the Polish Catholic Church, which still wields substantial power. To merge the polarised pro-church and anti-church narratives that not only dominate the public space but also fracture the internal fabric of individual families. The project draws on Julia’s experience of Catholic teaching and confrontation with the falsities of those who taught it.",video,illustratie,-,,,,Design Academy Eindhoven,Man and Communication,Bachelor,2019
Emergency Confidence,https://press.designacademy.nl/graduation-2019/project?ProjectId=2516,"A life vest made for success. It will arm you with undeniable confidence, as it instantly pushes you into a ‘power posture’. If you want to live up to expectations, you have to measure up to the polished picture of a self-assured professional. Linda Vilumsone ironically presents a quick fix for those who struggle with that oppressive framework. The rules for appearing confident are simple: back straight, shoulders out, head up. That is exactly what this vest does. Wear it to a presentation or meeting that makes you feel insecure. When in doubt, just pull the trigger: the vest will inflate and expand your confidence on the spot.",kledingstuk,-,-,,,,Design Academy Eindhoven,Man and Communication,Bachelor,2019
"Apathy, Denial and Misfortune",https://press.designacademy.nl/graduation-2019/project?ProjectId=2615,"Three robotic creatures, inspired by the Mars rovers. But instead of exploring the possibility of life on a faraway planet, they evaluate life on Earth. Since 2003, NASA has had three rovers on Mars, called Spirit, Curiosity and Opportunity. Their goal: to find out if the human race could ever inhabit Mars. But did we already give up on Earth? If these rovers were engineered for Earth, could they teach us something about human behaviour? Meet Apathy, Denial and Misfortune. They collectively draw attention to the destructive attitude that we have towards our own planet. Their disrupted functionality highlights the human struggle to solve local issues, while looking for answers elsewhere.",machine,-,-,,,,Design Academy Eindhoven,Man and Communication,Bachelor,2019
#greetingsfrom,https://press.designacademy.nl/graduation-2019/project?ProjectId=2603,"These postcards show popular instagrammed landmarks – with a compilation of selfies that were made on the exact same spot. In the age of digital self-promotion, Instagram posts depict us as enviable individuals, having a unique experience in untouched nature or at a city gem. In fact, these landmarks have turned into crowded tourist attractions; there is a huge gap between the story that we tell online and the reality on site. Greetings from Kuang Si Falls, Antelope Canyon or the Eiffel Tower, and from all the other people that were there too. Adding a selection of the numerous visitors that digitally posted their picture to an ‘old-fashioned’ postcard places the story in a contemporary perspective.",anzichtkaart,-,-,,,,Design Academy Eindhoven,Man and Communication,Bachelor,2019
E-topia,https://press.designacademy.nl/graduation-2019/project?ProjectId=2560,"E.topia is a stop-motion movie about an Instagram robot that ends up on a fictive electronics dump in Africa. Changes in fashion and planned obsolescence mean that over 40 tonnes of electronic waste are dumped every year. Marion Foulquier art directed and produced a film to raise awareness about our relation to modern technology in our digitalised world. Set in a fictive colossal e-waste dump and one of most poisonous places in the world, Marion’s seven-minute animation film features Violet, an Instagram robot. Found and repaired by a girl, Violet follows her new owner into a world she wasn't designed for. This meeting is the confrontation between two realities that were not supposed to meet.",video,,,,,,Design Academy Eindhoven,Man and Communication,Bachelor,2019
Contemplative Streams,https://press.designacademy.nl/graduation-2019/project?ProjectId=2401,"Contemplative Streams’ is a video installation that invites viewers to tune into nature’s pace. The viewer can observe blue and golden hours across the globe through live recorded webcam footage. Blue and golden hours mark the beginning and ending of the day, both in nature and in our personal time. Displayed as a continuous stream, these light events become an open invitation for contemplation and peace of mind. Two screens display blue and golden hours respectively from subsequent places around the world. They offer a window on the bustle in these places. A third screen displaying a day and night map of the world and a timetable of sky shades gives a full picture of the day in blue and gold.",installatie,video,,,,,Design Academy Eindhoven,Man and Communication,Bachelor,2019
The Way I See Things,https://press.designacademy.nl/graduation-2019/project?ProjectId=2359,"The sculptural objects designed by Michael Strebel are meant as portals, physical access points for digital experiences using augmented reality. Increasing electronic, digital and virtual functionalities in the environment of the future give us a chance to imagine a new function for physical objects and spaces. The project investigates how we can integrate digital practices in our daily lives beyond the computer screen. The intermediary objects in this project offer smartphone-users the entrance to a multitude of digital worlds. This shows how objects and spaces can become a kind of memory bank for diverse digital experiences. In short, the project investigates how augmented realty could create a whole new way of life.",,,,,,,Design Academy Eindhoven,Man and Communication,Bachelor,2019
The Hole Trap,https://press.designacademy.nl/graduation-2019/project?ProjectId=2327,"An illustrated story and installation that raises awareness of the need to change our ways. We all know that pollution is an enormous global threat to the continued existence of life on Earth. We want to do something, but don’t know how. The scale of the problem is too big. Shrinking the situation into the pages of a book can help us connect with our reality. Nam, Woe and Leav inhabit a fictional world where they face issues relating to todays big problems. Their plight symbolises our global predicament. Through these characters, it’s easier to think about topics that feel too confronting to deal with.",boek,,,,,,Design Academy Eindhoven,Man and Communication,Bachelor,2019
Tears of Ulsan,https://press.designacademy.nl/graduation-2019/project?ProjectId=2592,"A performance piece symbolising the sense of loss when big corporations leave the city that has grown to rely on them. In the South Korean city of Ulsan, the economic recession saw Hyundai Heavy Industries decide to go. The shipyard is Ulsan’s lifeblood and its inhabitants stand to lose everything. The move is part of a larger global pattern of what happens when these crucial companies leave. People try and push an enormous wheel up a sloped track. The visual evokes the incredible effort that locals have invested and the heavy sorrow weighing them down after the company that they have worked so hard for is now seeking its fortune elsewhere.",performance,-,-,,,,Design Academy Eindhoven,Man and Communication,Bachelor,2019
,https://press.designacademy.nl/graduation-2019/project?ProjectId=2591,,,,,,,,Design Academy Eindhoven,Man and Communication,Bachelor,2019
Displayed Reality,https://press.designacademy.nl/graduation-2019/project?ProjectId=2428,"A video installation exploring the blurry line between reality and advertising in user-generated makeup content on YouTube. This project reflects on current social media influencer marketing in the beauty industry and how brands are promoting their products subconsciously to ad-resistant millennials. A collection of user generated makeup tutorials is simultaneously displayed on a screen, all showing women in the process of applying makeup while talking about their personal lives. Is this really a reality or is it another face of advertising displayed as a reality?",installatie,video,,,,,Design Academy Eindhoven,Man and Communication,Bachelor,2019
Unlearn,https://press.designacademy.nl/graduation-2019/project?ProjectId=2532,"A film that highlights why the issue of sexual consent is still so problematic. When it comes to sex, consent remains much less clear-cut than it should be, believes Oriane Rondeau. For her, the ongoing objectification of women in modern pop culture creates the wrong expectations among men and women. Many young girls don’t even realise that saying no is an option. In a series of interviews, women reveal their experiences about consent. Oriane combines voice-over extracts with sexualised images of women portrayed in advertising and the media to reveal where things are going wrong.",video,,,,,,Design Academy Eindhoven,Man and Communication,Bachelor,2019
Polycreative,https://press.designacademy.nl/graduation-2019/project?ProjectId=2392,"Polycreative’ is a new term and approach, an understanding of collaborations as creative relationships between multiple individuals. This project focuses on representing and celebrating these relationships through cake. Increased visibility, communication and information access through social media are changing the way we work together. Viewing a collaboration as a creative relationship means consent, appreciation, curiosity and dialogue can be shared in a new light. It all starts with five cake stands by five designers for one cake baker. Five ritual designers, plus photographers, video artists, eaters and viewers complete the experience. The final outcomes become secondary; primary aspects are the communication, the many different media used, and the different emotions experienced.",,,,,,,Design Academy Eindhoven,Man and Communication,Bachelor,2019
,https://press.designacademy.nl/graduation-2019/project?ProjectId=2546,,,,,,,,Design Academy Eindhoven,Man and Communication,Bachelor,2019
Figurative Furniture,https://press.designacademy.nl/graduation-2019/project?ProjectId=2545,"Furniture that refers to and reflects contemporary culture. Figurative furniture disappeared over the centuries. By eliminating decoration, we focused on essential needs instead, seen as geometrical and abstract. Orson Van Beek breathes new life into the figurative with screens, wires and cables. The image depicted onto the screen forms a simple no-content grid. The display is an empty container. Once someone sits on the chair, they become the content. Constructed from ordinary cables, the lamps represent our digital dependency. Wires become the centrepiece, not things that are hidden. The chair supported by cables expresses the dynamics of a messy composition.",meubelstuk,,,,,,Design Academy Eindhoven,Man and Communication,Bachelor,2019
Somatic Symptoms,https://press.designacademy.nl/graduation-2019/project?ProjectId=2340,"A translation of personal and gathered experiences of the physical symptoms and sensations brought on by depression and anxiety disorders, using textiles and clothing to create sensory simulations. To create a visual and tangible understanding of the hidden physical symptoms of mental illness. These sensations can be all-consuming to the individual experiencing them, yet they are rarely manifest, making them hard to comprehend as an outside observer. Paisley Fried designed pieces around areas where symptoms manifest: stomach, chest, arms, throat and head. They simulate incessant tingling and build-up of energy, excessive weight, dragging, separation of body and skin, waves of heat and tension, sensations of suffocation, smothering and discomfort within your skin.",kledingstuk,,,,,,Design Academy Eindhoven,Man and Communication,Bachelor,2019
Sea You There,https://press.designacademy.nl/graduation-2019/project?ProjectId=2378,"An eight-minute video offers unexpected solutions for sea waste. The huge amounts of trash drifting in the oceans are often felt as too big a problem to tackle. ‘Sea You There’ is a fresh way to raise awareness for the problem, helping us to think differently about the issue. The story of two researchers looking into the myth of left and right shoes washing up on different shores, leads to redesigns of products most commonly found among ocean trash. What if we designed plastic bottles, lighters and plastic bags so that they will wash ashore, instead of endlessly drifting around in the ocean?",video,-,-,,,,Design Academy Eindhoven,Man and Communication,Bachelor,2019
Feel at EASE,https://press.designacademy.nl/graduation-2019/project?ProjectId=2403,"A clothing collection that protects wearers against electromagnetic radiation from wireless devices, introducing conductive materials from industrial gear into everyday outfits. Most of us live in a smog of electromagnetic radiation from wireless technology. We don't yet know what the long-term impact will be on our health. But for those who prefer to be on the safe side, ‘Feel at EASE’ offers an attractive solution without the need to disconnect or unplug. Integrating conductive metals like copper or silver into the fabric partly blocks electromagnetic waves. A multifunctional jacket, a sporty jumpsuit and a casual hoody are meant to counter potential damage from keeping a phone in your pocket, working with a laptop on your knees, or passing a transmission tower.",kledingstuk,,,,,,Design Academy Eindhoven,Man and Communication,Bachelor,2019
Police Training – How to deal with young ex-prisoners?,https://press.designacademy.nl/graduation-2019/project?ProjectId=2540,"A series of educational animation videos, highlighting how the police can help tackle serious social issues like youth recidivism. Roxane de Jong renders a complicated subject – the successful reintegration of young ex-detainees – in a video tutorial for the Police Academy and YouTube. An accessible how-to video can be a strong tool to reduce the alarming 63 per cent of repeat youth offenders. Roxane interviewed policemen, criminal lawyers and psychologists to develop an approach that can lower the risk of regression. This tutorial analyses the problem, identifies the social partners involved, and offers hands-on advice. ‘Police Training’ is a tool that helps the police help people at risk.",video,-,-,,,,Design Academy Eindhoven,Man and Communication,Bachelor,2019
Tel je fus,https://press.designacademy.nl/graduation-2019/project?ProjectId=2607,"This installation works in conjunction with the VR experience ‘La Peur Bleue’. It represents the process of turning the war memoir of Samuel Picot’s grandfather into a VR-experience, changing the way the story is told. “By turning his memoir book into VR, a medium that my grandfather has no ability to access on his own, I also created a bridge between two generations, a common interest,” says Samuel. “The representation of this process in itself being just as valuable as the result.” Through a film, a series of pictures, some relics from the past, and the book itself, this process is shown together with the elements that helped the project come together.",installatie,VR,boek,,,,Design Academy Eindhoven,Man and Communication,Bachelor,2019
Will I Burn There Too?,https://press.designacademy.nl/graduation-2019/project?ProjectId=2549,"The story of good versus evil, taken from two very different contexts − fantasy films and the Bible − and brought together in a single video installation. Sylke van der Heiden grew up within the strict religious community of the Reformed Liberated Church. Films such as Harry Potter, Narnia and Lord of the Rings were considered sinful and dangerous, with their portrayal of evil forces rising up against the good. Yet the battle against evil also lies at the heart of Sylke’s religion. By mixing fragments of fantasy films and Bible passages, Sylke seeks a way to navigate her conflicting feelings towards the church in a visual way that others can also understand.",installatie,video,,,,,Design Academy Eindhoven,Man and Communication,Bachelor,2019
Life is Puzzling,https://press.designacademy.nl/graduation-2019/project?ProjectId=2538,"A collection of informative jigsaw puzzles, visualising the answers to some of the most frequently Googled questions. How long does it take to get to Mars? Why do cats purr? Or how much water should you drink a day. The internet is the first place that many people turn to for the answers, which takes a matter of seconds. But we tend to forget what we have learned just as quickly. It could be argued that we are becoming too reliant on internet search engines. Contrasting with instant online searches, these jigsaw puzzles require time and focus to explore the answers. ‘Life is Puzzling’ offers a rewarding and potentially social experience – you will definitely remember the outcome.",,,,,,,Design Academy Eindhoven,Man and Communication,Bachelor,2019
You can ……………. in Exhibitions,https://press.designacademy.nl/graduation-2019/project?ProjectId=2596,"A museum shop that challenges exhibition etiquette, encouraging visitors to go their own way instead of trying to follow the unspoken rules. Many visitors of exhibitions have the same behavioural questions that they don’t dare to ask. Take, for example, Tristan Roques’ question #3: Can I start just anywhere?’. Or question #31: Should I tell everyone what my favourite is? And what about question #68: ‘How close should I stand to the work?’ His museum shop marks the beginning of your visit (rather than the usual end), with tools that propose silly but significant answers. Pick up a dice to decide where to start, or a moveable distance guide to determine your position. Worried about museum fatigue? Then bring a pillow tote bag to nap on.",,,,,,,Design Academy Eindhoven,Man and Communication,Bachelor,2019
One More Award,https://press.designacademy.nl/graduation-2019/project?ProjectId=2597,"This trophy-shaped sauce dispenser can be used to award everything, offering the appropriate words and symbols of praise, and a golden finishing touch. Tristan Roques challenges the value of the countless design prizes that are out there. Awards are like topping sauces, he says: they don’t improve what’s being awarded, but just make it look and taste better. So why not make this sauce available for everyone? Instead of having to enter an expensive competition, you can win one for free with ‘One More Award’. It presents the most frequently used adjectives and nouns from jury statements on brass plates; screw the preferred combination onto any object, finish it off with a splash of golden sauce, and let the ceremony begin.",,,,,,,Design Academy Eindhoven,Man and Communication,Bachelor,2019
Alter Ego,https://press.designacademy.nl/graduation-2019/project?ProjectId=2610,"A collection of accessories, to wear as a second skin, its shapes and prints inspired by personal mementos that create a sense of belonging. Intrigued by the ever-changing human skin that separates the inner from the outer world, Anete Sabule plays with the concept of exposure versus protection. ‘Alter Ego’ was created as a new ‘in-between space’ to feel at home in. Starting point for the design was Anete’s personal collection of stones, each with its own story. Their shapes and colours inspired this flexible body armour, made of rubber, felt or leather. Wrap your body in their soft embrace and layer them to your liking, until you feel comfortable.",,,,,,,Design Academy Eindhoven,Man and Identity,Bachelor,2019
Twirl,https://press.designacademy.nl/graduation-2019/project?ProjectId=2581,"Hair accessories that allow hidden alter egos to emerge. Discover, reveal and train your inner pop queen! Hair has always been a strong cultural marker and tool to blend in or stand out in society. In this collection, hair is put on for a show, a game, a look. Colourful leather head harnesses can be strapped on and removed in an instant, with extensions in all kinds of materials that dance along with you, from knitted acrylic, mohair or lurex to elastic, glass beads and fringes. Expressive movements create a unique hair choreography.",,,,,,,Design Academy Eindhoven,Man and Identity,Bachelor,2019
Feetish,https://press.designacademy.nl/graduation-2019/project?ProjectId=2358,"A series of videos revealing the naked beauty of man’s feet. Society celebrates female beauty. Sensuality and elegance are associated with feminine forms. However, male nudity is slowly becoming more visible and present, perhaps as an expression of gender equality. A handsome face, a ripped torso, yes. But what about the rest? Male feet are sensuous too, believes Hung-Sheng Lee. And he set out to convey their beauty. Hung-Sheng Lee uses video to enhance sensuality. Tactile materials interact with the skin of the feet, allowing the eye to discover every detail of male heels and toes. Wrapped in soft liquid jelly, the male foot softens. Exploring beauty and sensation in a variety of shots, the video is a celebration of male feet.",video,-,-,,,,Design Academy Eindhoven,Man and Identity,Bachelor,2019
Carryall,https://press.designacademy.nl/graduation-2019/project?ProjectId=2333,"‘Carryall’ is a collection of garments inspired by the classic net bag that seems to expand endlessly to carry your shopping. Charmed by this expansion, Linda Ludbarza has created a series of wearables that mimic the same effect. The net structures swell as they move and follow the curves of the body. Due to their fluidity and flexibility, they are all-inclusive, unisex, and adjust to any size. The supple, bright-coloured nets act as a diverse layering tool. As they expand and contract, the intricate netting mingles with underlaying garments, revealing new arrangements. They can sway over the entire outfit, but can also be worn under items, close to the skin, peeking out underneath layers.",kledingstuk,,,,,,Design Academy Eindhoven,Man and Identity,Bachelor,2019
LA KE BO,https://press.designacademy.nl/graduation-2019/project?ProjectId=2433,"LA KE BO is a film set in a futuristic utopia, where landscapes and spaces are forced to come to life as sea level rise due to global warming. In this apocalyptic scenario, the lands of New Caledonia slowly transform into creatures in order to survive. These creatures are inspired by the tales of New Caledonian culture, where each land has a ‘‘spirit’’, a ‘‘character’’ and a story. I have translated five spaces from my native island into living creatures - the Red South, the Natural Pool, the Market, the Coral Reef and the Tjibaou cultural center - each, like totems, with a distinct silhouette in hommage to the landscapes they represent. The textiles, prints and shapes of each creature reference specific visual and cultural aspects of the original spaces. LA KE BO is a question about identity, in Drehu, a Kanak (New Caledonian) dialect: ‘‘Who are you in relation to others? Which space are you from?’’. It emphasizes the importance of one’s origins, homeland and identity. The LA KE BO project is my first local initiative working exclusively with New Caledonian talents. I directed, produced and casted the project in collaboration with film maker Cédric Jean-Baptiste, sound engineer Julien Le Pape, slammer Simanë Wenethem and local models.",video,,,,,,Design Academy Eindhoven,Man and Identity,Bachelor,2019
Alliage – Cu29Zn30,https://press.designacademy.nl/graduation-2019/project?ProjectId=2434,"An ideal projection of a human’s invincible self, translated into a jewellery collection. As wearable technologies become more present in daily life, Loan Favan sees them as potential 'body extensions'. Based on the concept of transhumanism, she imagines accessories that transcend human nature. Each item represents a 'super-power' such as inexhaustible energy (working 24:7), limitless knowledge (robotic aspects), superhuman capabilities (breathing underwater, terminating enemies). ‘Alliage – Cu29Zn30’ is made of brass, the main material of this sleek futuristic line. The pieces are shaped using a metal lathe, which gives the brass an industrial look. It is then assembled with transparent materials in a raw and minimalist aesthetic.",,,,,,,Design Academy Eindhoven,Man and Identity,Bachelor,2019
Opinion Cooler,https://press.designacademy.nl/graduation-2019/project?ProjectId=2349,"A series of self-portraits that reflect on the limits and the power of one’s perception of truth. Fascinated by online rage, Pauline Perrin acknowledges that the internet produces loaded content to keep us engaged. In her opinion, we slide to extremes as a way to defend a positive self-image. Recognising the vulnerable humans behind the polished media we create is, she believes, the first step towards a more peaceful digital life. Her self-portraits propose a visual translation of this conclusion. Intentionally contradictory, the photographs feature uncanny body shapes in playful cocoons. Through variation of textures and compositions, these 'selfies' celebrate the ever-changing nature of the self. Edited to the extreme, the pictures curiously become more honest about their own unreal aspect.",fotografie,,,,,,Design Academy Eindhoven,Man and Identity,Bachelor,2019
Inflatable Confidence Raising Kit,https://press.designacademy.nl/graduation-2019/project?ProjectId=2609,"A set of confidence-raising inflatables; physical accessories to influence our mental state. Confidence is an intangible asset. By materialising this as physical objects, we can control and alter our sense of self. Worn on the shoulders as a social life vest, the inflatables form a protective bubble. Like animals that make themselves bigger when threatened, they also create a more imposing silhouette. Inflating the shapes with our own breath also acts as a ritualistic exercise in mindfulness in times of stress, fear, and self-doubt.",kledingstuk,,,,,,Design Academy Eindhoven,Man and Identity,Bachelor,2019
Pollination Equipment,https://press.designacademy.nl/graduation-2019/project?ProjectId=2620,"A new leisure activity encouraging people to go outside and pollinate flowers to experience the vital role insects play in nature. Insects are the foundation of every ecosystem. Yet in the last 25 years, 75 per cent of pollinating insects have gone extinct. Global governmental changes are needed, but we also need to change our individual mindset. In this hands-on approach to raising awareness, people can pollinate plants themselves. There’s a special suit, footwear, goggles and finger extensions with soft brushes to fit every flower. While doing the job of insects, we can open our eyes to the need to maintain our ecosystem.",,,,,,,Design Academy Eindhoven,Man and Leisure,Bachelor,2019
BROODJE POEP,https://press.designacademy.nl/graduation-2019/project?ProjectId=2624,"A sandwich made from ingredients grown on human poop and pee compost. The sandwiches are sold at festivals in a BROODJE POEP (Shit Sandwich) cart that also carries a toilet to collect the valuable human waste needed to make the sandwiches. Closing the food cycle should be the world’s number one priority. Returning the nutrients and micro-organisms from our excrement to the soil is a centuries-old technique that in the long run is economically more beneficial than using fertilisers. By integrating a dry toilet in a food truck that serves tasty sandwiches, BROODJE POEP demonstrates how easy the food cycle can be closed. This helps to raise public support for the issue.",,,,,,,Design Academy Eindhoven,Man and Leisure,Bachelor,2019
Empathy Gym,https://press.designacademy.nl/graduation-2019/project?ProjectId=2394,"A storytelling exercise that encourages players to practice empathy by sharing stories about emotions, actions and sensations. Politics and society are increasingly polarised. Polarisation appeals to negative emotions such as fear and anger. Neuroscientists tell us that all humans are inherently empathic, and that empathy is a skill we can train. The warm-up phase helps us recognise emotions in facial expressions. The exercise phase trains us to become better storytellers and listeners. The cooling down phase lets us reflect on the experience and select our favourite stories. Empathy Gym can be played with friends, family, colleagues or even strangers before a political debate.",,,,,,,Design Academy Eindhoven,Man and Leisure,Bachelor,2019
Voicing Borders,https://press.designacademy.nl/graduation-2019/project?ProjectId=2599,"A razor wire fence built by an invader is used by its victims to broadcast their message to the world. After they invaded Georgia in 2008, Russian forces put up a razor wire fence to mark the occupied territory. Inside this land, villages were burned down, leaving no trace of the people who once lived there. Born behind the occupation line, Irakli Sabekia wants to reveal their existence to the world. The very weapon of occupation becomes a tool for voicing an objection to it. A specially designed radio transmitter connects to the fence and uses it as an antenna. It sends a message in Morse code, stating the names of the disappeared villages and their geographic coordinates.",,,,,,,Design Academy Eindhoven,Man and Leisure,Bachelor,2019
Ministry of Reasonable Chaos,https://press.designacademy.nl/graduation-2019/project?ProjectId=2513,"Welcome to the Ministry of Reasonable Chaos, staging playful interventions in the overregulated Netherlands. Every aspect of Dutch life is regulated, either by the system or through an abundance of social control. Overwhelming regulation is restraining the capacity for creative change, says Irakli Sabekia. His new Ministry is here to shake things up: its goal is to create new possibilities by introducing reasonable amounts of chaos and randomness into various aspects of life. As an introduction to its practice, the Ministry presents a series of ‘unruled’ interventions in public spaces, using archetypal yet colourful light bricks. These little messengers break through the monotony of rigid spaces and invite the public to sculpt their own environments.",interventie,,,,,,Design Academy Eindhoven,Man and Leisure,Bachelor,2019
The Sweet Retreat,https://press.designacademy.nl/graduation-2019/project?ProjectId=2506,"‘The Sweet Retreat’ is a collection of playful objects inviting you to a light-hearted and joyful sensation. Within the design field nowadays there is a great focus on social design and design thinking related to global problems. Jelle van Twillert’s project is an appeal not to forget to have fun too and use the positive energy it brings to address the topics at hand with more power. By playing with the aesthetics of sweetness through colour, form and tactility the soft and bright objects create a playful ambiance where people can retreat and recharge from daily seriousness and responsibility.",,,,,,,Design Academy Eindhoven,Man and Leisure,Bachelor,2019
Digital Sprayers,https://press.designacademy.nl/graduation-2019/project?ProjectId=2321,"A mobile app that turns your phone into a virtual can of spray paint. Express your political opinions with your own augmented-reality graffiti! Voter participation among young people is at an all-time low. What better way to invite more engagement than by using the smartphone to modernise a classic form of self-expression: graffiti. With ‘Digital Sprayers’, people can paint virtual comments on city walls and respond to other users’ tags. The public space becomes a communication platform for a new, responsive community encouraging self-expression.",software,,,,,,Design Academy Eindhoven,Man and Leisure,Bachelor,2019
